Dates,Song,Artist
2010-01-02,Tik Tok,Ke$ha
2010-01-02,Empire State Of Mind,Jay-Z + Alicia Keys
2010-01-02,Bad Romance,Lady Gaga
2010-01-02,Replay,Iyaz
2010-01-02,Fireflies,Owl City
2010-01-02,Sexy Bitch,David Guetta Feat. Akon
2010-01-02,Whatcha Say,Jason Derulo
2010-01-02,Down,Jay Sean Feat. Lil Wayne
2010-01-02,Meet Me Halfway,The Black Eyed Peas
2010-01-02,3,Britney Spears
2010-01-02,Hard,Rihanna Feat. Jeezy
2010-01-02,BedRock,Young Money Feat. Lloyd
2010-01-02,How Low,Ludacris
2010-01-02,Do You Remember,Jay Sean Feat. Sean Paul & Lil Jon
2010-01-02,Paparazzi,Lady Gaga
2010-01-02,Forever,"Drake Feat. Kanye West, Lil Wayne & Eminem"
2010-01-02,Sweet Dreams,Beyonce
2010-01-02,Already Gone,Kelly Clarkson
2010-01-02,Party In The U.S.A.,Miley Cyrus
2010-01-02,I Gotta Feeling,The Black Eyed Peas
2010-01-02,Need You Now,Lady Antebellum
2010-01-02,You Belong With Me,Taylor Swift
2010-01-02,Two Is Better Than One,Boys Like Girls Feat. Taylor Swift
2010-01-02,I Can Transform Ya,Chris Brown Feat. Lil Wayne & Swizz Beatz
2010-01-02,Use Somebody,Kings Of Leon
2010-01-02,Money To Blow,Birdman Feat. Lil Wayne & Drake
2010-01-02,Try Sleeping With A Broken Heart,Alicia Keys
2010-01-02,Evacuate The Dancefloor,Cascada
2010-01-02,Hell Breaks Loose,Eminem Feat. Dr. Dre
2010-01-02,Fifteen,Taylor Swift
2010-01-02,Tie Me Down,New Boyz Feat. Ray J
2010-01-02,"Hey, Soul Sister",Train
2010-01-02,Live Like We're Dying,Kris Allen
2010-01-02,Say Aah,Trey Songz Feat. Fabolous
2010-01-02,Gangsta Luv,Snoop Dogg Feat. The-Dream
2010-01-02,Baby By Me,50 Cent Feat. Ne-Yo
2010-01-02,Run This Town,"Jay-Z, Rihanna & Kanye West"
2010-01-02,Telephone,Lady Gaga Feat. Beyonce
2010-01-02,Cowboy Casanova,Carrie Underwood
2010-01-02,Give It Up To Me,Shakira Feat. Lil Wayne
2010-01-02,According To You,Orianthi
2010-01-02,I Invented Sex,Trey Songz Feat. Drake
2010-01-02,Do I,Luke Bryan
2010-01-02,Fallin' For You,Colbie Caillat
2010-01-02,Consider Me Gone,Reba
2010-01-02,If You Only Knew,Shinedown
2010-01-02,One Time,Justin Bieber
2010-01-02,The Truth,Jason Aldean
2010-01-02,It Kills Me,Melanie Fiona
2010-01-02,Southern Voice,Tim McGraw
2010-01-02,Spotlight,Gucci Mane Feat. Usher
2010-01-02,White Liar,Miranda Lambert
2010-01-02,Russian Roulette,Rihanna
2010-01-02,Smile,Uncle Kracker
2010-01-02,Empire State Of Mind (Part II) Broken Down,Alicia Keys
2010-01-02,Uprising,Muse
2010-01-02,I Wanna Make You Close Your Eyes,Dierks Bentley
2010-01-02,Life After You,Daughtry
2010-01-02,Carry Out,Timbaland Feat. Justin Timberlake
2010-01-02,One Less Lonely Girl,Justin Bieber
2010-01-02,Papers,Usher
2010-01-02,Never Gonna Be Alone,Nickelback
2010-01-02,Red Light,David Nail
2010-01-02,Why Don't We Just Dance,Josh Turner
2010-01-02,I Am,Mary J. Blige
2010-01-02,History In The Making,Darius Rucker
2010-01-02,Elevator,Eminem
2010-01-02,Crawl,Chris Brown
2010-01-02,Shut It Down,Pitbull Feat. Akon
2010-01-02,In My Head,Jason Derulo
2010-01-02,Haven't Met You Yet,Michael Buble
2010-01-02,Whataya Want From Me,Adam Lambert
2010-01-02,Eight Second Ride,Jake Owen
2010-01-02,Someday,Rob Thomas
2010-01-02,I Wanna Rock,Snoop Dogg
2010-01-02,Bonfire,Craig Morgan
2010-01-02,Wasted,Gucci Mane Feat. Plies Or OJ Da Juiceman
2010-01-02,All The Right Moves,OneRepublic
2010-01-02,Sex Therapy,Robin Thicke
2010-01-02,Body Language,Jesse McCartney Feat. T-Pain
2010-01-02,I Will Not Bow,Breaking Benjamin
2010-01-02,Break,Three Days Grace
2010-01-02,Bad Habits,Maxwell
2010-01-02,On Fire,Lil Wayne
2010-01-02,Heartbreak Warfare,John Mayer
2010-01-02,American Saturday Night,Brad Paisley
2010-01-02,That's How Country Boys Roll,Billy Currington
2010-01-02,Cryin' For Me (Wayman's Song),Toby Keith
2010-01-02,Breakeven,The Script
2010-01-02,1901,Phoenix
2010-01-02,Halfway Gone,Lifehouse
2010-01-02,Gettin' You Home,Chris Young
2010-01-02,Imma Be,The Black Eyed Peas
2010-01-02,Hey Daddy (Daddy's Home),Usher Feat. Plies
2010-01-02,(If You're Wondering If I Want You To) I Want You To,Weezer
2010-01-02,Kings And Queens,Thirty Seconds To Mars
2010-01-02,I'm Going In,Drake Feat. Lil Wayne & Young Jeezy
2010-01-02,I Get It In,Omarion Feat. Gucci Mane
2010-01-02,Drop It Low,Ester Dean Feat. Chris Brown
2010-01-02,Video Phone,Beyonce Feat. Lady Gaga
2010-01-09,Naturally,Selena Gomez & The Scene
2010-01-09,Steady Mobbin',Young Money Feat. Gucci Mane
2010-01-09,Hillbilly Bone,Blake Shelton Feat. Trace Adkins
2010-01-09,Vanilla Twilight,Owl City
2010-01-09,Funhouse,P!nk
2010-01-09,Music Box,Eminem
2010-01-09,Love Me,Justin Bieber
2010-01-09,Hot Mess,Cobra Starship
2010-01-09,Rain,Creed
2010-01-09,Falling Down,Selena Gomez & The Scene
2010-01-09,Shots,LMFAO Feat. Lil Jon
2010-01-09,American Honey,Lady Antebellum
2010-01-16,Drop The World,Lil Wayne Feat. Eminem
2010-01-16,Temporary Home,Carrie Underwood
2010-01-23,Blah Blah Blah,Ke$ha Feat. 3OH!3
2010-01-23,Your Love Is My Drug,Ke$ha
2010-01-23,Take It Off,Ke$ha
2010-01-23,Love This Pain,Lady Antebellum
2010-01-23,Say Something,Timbaland Feat. Drake
2010-01-23,A Little More Country Than That,Easton Corbin
2010-01-30,Soldier Of Love,Sade
2010-01-30,Ready To Love Again,Lady Antebellum
2010-01-30,On To The Next One,Jay-Z + Swizz Beatz
2010-01-30,Set The Fire To The Third Bar,Snow Patrol Feat. Martha Wainwright
2010-01-30,When I Look At You,Miley Cyrus
2010-01-30,'Til Summer Comes Around,Keith Urban
2010-01-30,Highway 20 Ride,Zac Brown Band
2010-01-30,Just Breathe,Pearl Jam
2010-02-06,Today Was A Fairytale,Taylor Swift
2010-02-06,Baby,Justin Bieber Feat. Ludacris
2010-02-06,Stranded (Haiti Mon Amour),"Jay-Z, Bono, The Edge & Rihanna"
2010-02-06,Hallelujah,Justin Timberlake & Matt Morris Feat. Charlie Sexton
2010-02-06,Our Kind Of Love,Lady Antebellum
2010-02-06,Redemption Song,Rihanna
2010-02-13,Lean On Me,"Sheryl Crow, Kid Rock & Keith Urban"
2010-02-13,Breathless,Taylor Swift
2010-02-13,Nothin' On You,B.o.B Feat. Bruno Mars
2010-02-13,My City Of Ruins (Live From The Kennedy Center Honors),Eddie Vedder
2010-02-13,Ain't Leavin Without You,Jaheim
2010-02-13,Let It Be,Jennifer Hudson Feat. The Roots
2010-02-13,Hurry Home,Jason Michael Carroll
2010-02-13,All The Way Turnt Up,Roscoe Dash Feat. Soulja Boy Tell'em
2010-02-20,Glitter In The Air,P!nk
2010-02-20,Knockout,Lil Wayne Feat. Nicki Minaj
2010-02-20,You And Me,Dave Matthews Band
2010-02-20,I Made It (Cash Money Heroes),"Kevin Rudolf Feat. Birdman, Jay Sean, & Lil Wayne"
2010-02-20,Bridge Over Troubled Water    ,Mary J. Blige & Andrea Bocelli
2010-02-20,F**k Today,Lil Wayne Feat. Gudda
2010-02-20,Who I Am,Nick Jonas & The Administration
2010-02-20,American Star,Lil Wayne Feat. Shanell AKA SNL
2010-02-20,Lemonade,Gucci Mane
2010-02-20,Major Tom,Shiny Toy Guns
2010-02-20,Fearless,Taylor Swift
2010-02-27,We Are The World 25: For Haiti,Artists For Haiti
2010-02-27,Solo,Iyaz
2010-02-27,Pants On The Ground,General Larry Platt
2010-02-27,Rude Boy,Rihanna
2010-02-27,"Beamer, Benz, Or Bentley",Lloyd Banks Feat. Juelz Santana
2010-02-27,Everything To Me,Monica
2010-02-27,Unstoppable,Rascal Flatts
2010-02-27,O Let's Do It,Waka Flocka Flame
2010-02-27,Didn't You Know How Much I Loved You,Kellie Pickler
2010-03-06,Hero,Christopher Wilde
2010-03-06,Hallelujah (Vancouver Winter 2010 Version),k.d. lang
2010-03-06,All I Do Is Win,"DJ Khaled Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross"
2010-03-06,There Goes My Baby,Usher
2010-03-06,StarStruck,Christopher Wilde
2010-03-06,Something About The Sunshine  ,Christopher Wilde & Anna Margaret
2010-03-06,Follow Me Down                ,3OH!3 Feat. Neon Hitch
2010-03-06,Young Forever,Jay-Z + Mr. Hudson
2010-03-06,Up Out My Face,Mariah Carey Feat. Nicki Minaj
2010-03-13,My Chick Bad,Ludacris Feat. Nicki Minaj
2010-03-13,Break Your Heart,Taio Cruz Feat. Ludacris
2010-03-13,Let It Be,Kris Allen
2010-03-13,Neighbors Know My Name,Trey Songz
2010-03-13,One Day,Matisyahu
2010-03-13,"Women Lie, Men Lie",Yo Gotti Feat. Lil Wayne
2010-03-13,Gimmie That Girl,Joe Nichols
2010-03-13,Backwoods,Justin Moore
2010-03-20,Never Let You Go,Justin Bieber
2010-03-20,Ridin' Solo,Jason Derulo
2010-03-20,Lil Freak,Usher Feat. Nicki Minaj
2010-03-20,Alice,Avril Lavigne
2010-03-20,Ain't Back Yet,Kenny Chesney
2010-03-20,Cryin' Like A Bitch!,Godsmack
2010-03-20,Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida
2010-03-20,My Best Days Are Ahead Of Me,Danny Gokey
2010-03-20,Bulletproof,La Roux
2010-03-20,The Man I Want To Be,Chris Young
2010-03-20,Keep On Lovin' You,Steel Magnolia
2010-03-20,Hell On The Heart,Eric Church
2010-03-27,Over,Drake
2010-03-27,Driving Me Crazy,Sam Adams
2010-03-27,Ooh Baby,Mario
2010-04-03,U Smile,Justin Bieber
2010-04-03,I'm Back,T.I.
2010-04-03,I'm Awesome,Spose
2010-04-03,More,Usher
2010-04-03,Make A Wave,Disney's Friends For Change
2010-04-03,Love King,The-Dream
2010-04-03,Fistful Of Tears,Maxwell
2010-04-03,I Gotta Get To You,George Strait
2010-04-10,Eenie Meenie,Sean Kingston & Justin Bieber
2010-04-10,Reverse Cowgirl,T-Pain
2010-04-10,Roger That,Young Money
2010-04-10,Pray For You,Jaron And The Long Road To Love
2010-04-10,Rain Is A Good Thing,Luke Bryan
2010-04-10,That Should Be Me,Justin Bieber
2010-04-10,Wrong Baby Wrong,Martina McBride
2010-04-10,If We Ever Meet Again,Timbaland Feat. Katy Perry
2010-04-10,4 My Town (Play Ball),Birdman Feat. Drake & Lil Wayne
2010-04-10,The House That Built Me,Miranda Lambert
2010-04-10,I Never Told You,Colbie Caillat
2010-04-17,OMG,Usher Feat. will.i.am
2010-04-17,Hello Good Morning,Diddy - Dirty Money Feat. T.I.
2010-04-17,Alejandro,Lady Gaga
2010-04-17,Billionaire,Travie McCoy Feat. Bruno Mars
2010-04-17,Window Seat,Erykah Badu
2010-04-17,She Won't Be Lonely Long,Clay Walker
2010-04-24,You And Your Heart,Jack Johnson
2010-04-24,Winner,Jamie Foxx Feat. Justin Timberlake & T .I.
2010-04-24,Don't Let Me Fall,B.o.B
2010-04-24,This Afternoon,Nickelback
2010-04-24,Kissin U,Miranda Cosgrove
2010-04-24,Un-Thinkable (I'm Ready),Alicia Keys
2010-04-24,Give Me A Sign (Forever And Ever),Breaking Benjamin
2010-04-24,All I Ever Wanted,Kelly Clarkson
2010-05-01,Airplanes,B.o.B Feat. Hayley Williams
2010-05-01,Not Myself Tonight,Christina Aguilera
2010-05-01,Gives You Hell,Glee Cast
2010-05-01,Hello,Glee Cast Feat. Jonathan Groff
2010-05-01,Hello Goodbye,Glee Cast
2010-05-01,"Hello, I Love You",Glee Cast
2010-05-01,Crazy Town,Jason Aldean
2010-05-01,Water,Brad Paisley
2010-05-08,Like A Prayer,Glee Cast Feat. Jonathan Groff
2010-05-08,Bet I,B.o.B Feat. T.I. & Playboy Tre
2010-05-08,Borderline / Open Your Heart,Glee Cast
2010-05-08,Like A Virgin,Glee Cast
2010-05-08,Impossible,Shontelle
2010-05-08,4 Minutes,Glee Cast
2010-05-08,I Keep On Loving You,Reba
2010-05-08,Still,Tim McGraw
2010-05-08,Ride,Ciara Feat. Ludacris
2010-05-15,One Less Bell To Answer / A House Is Not A Home,Glee Cast Feat. Kristin Chenoweth
2010-05-15,Beautiful,Glee Cast
2010-05-15,Rock That Body,The Black Eyed Peas
2010-05-15,Fire,Glee Cast Feat. Kristin Chenoweth
2010-05-15,Gypsy,Shakira
2010-05-15,A House Is Not A Home,Glee Cast
2010-05-15,Magic,B.o.B Feat. Rivers Cuomo
2010-05-15,Cooler Than Me,Mike Posner
2010-05-15,"Lover, Lover",Jerrod Niemann
2010-05-15,Home,Glee Cast Feat. Kristin Chenoweth
2010-05-15,Halfway There,Big Time Rush
2010-05-15,Gettin' Over You,David Guetta & Chris Willis Feat. Fergie & LMFAO
2010-05-15,New Morning,Alpha Rev
2010-05-22,Not Afraid,Eminem
2010-05-22,My First Kiss,3OH!3 Feat. Ke$ha
2010-05-22,Total Eclipse Of The Heart,Glee Cast Feat. Jonathan Groff
2010-05-22,Find Your Love,Drake
2010-05-22,Lose My Mind,Young Jeezy Feat. Plies
2010-05-22,Run Joey Run,Glee Cast Feat. Jonathan Groff
2010-05-22,Ice Ice Baby,Glee Cast
2010-05-22,Physical,Glee Cast Feat. Olivia Newton-John
2010-05-22,U Can't Touch This,Glee Cast
2010-05-22,Undo It,Carrie Underwood
2010-05-22,Love Like Crazy,Lee Brice
2010-05-22,All Or Nothing,Theory Of A Deadman
2010-05-29,California Gurls,Katy Perry Feat. Snoop Dogg
2010-05-29,Jessie's Girl,Glee Cast
2010-05-29,Pyramid,Charice Feat. Iyaz
2010-05-29,One,Glee Cast
2010-05-29,The Boy Is Mine,Glee Cast
2010-05-29,Lady Is A Tramp,Glee Cast
2010-05-29,I'm Single,Lil Wayne
2010-05-29,I Like It,Enrique Iglesias Feat. Pitbull
2010-05-29,Rose's Turn,Glee Cast
2010-05-29,Somebody To Love,Justin Bieber Feat. Usher
2010-06-05,Can't Be Tamed,Miley Cyrus
2010-06-05,Dream On,Glee Cast Feat. Neil Patrick Harris
2010-06-05,I Dreamed A Dream,Glee Cast Feat. Idina Menzel
2010-06-05,Touchin On My,3OH!3
2010-06-05,Nightmare,Avenged Sevenfold
2010-06-05,Neutron Star Collision (Love Is Forever),Muse
2010-06-05,Woohoo,Christina Aguilera Feat. Nicki Minaj
2010-06-05,Safety Dance,Glee Cast
2010-06-05,Bad Romance,Glee Cast
2010-06-05,Free,Zac Brown Band
2010-06-05,Hold You (Hold Yuh),Gyptian
2010-06-05,Poker Face,Glee Cast
2010-06-12,Beautiful Day,Lee DeWyze
2010-06-12,Hallelujah,Lee DeWyze
2010-06-12,Up To The Mountain,Crystal Bowersox
2010-06-12,Falling Slowly,Lee DeWyze & Crystal Bowersox
2010-06-12,Beth,Glee Cast
2010-06-12,Leave Right Now,Will Young
2010-06-12,The Boxer,Lee DeWyze
2010-06-12,The Only Exception,Paramore
2010-06-12,Teach Me How To Dougie,Cali Swag District
2010-06-12,Who Dat,J. Cole
2010-06-12,Sex Room,Ludacris Feat. Trey Songz
2010-06-12,Super High,Rick Ross Feat. Ne-Yo
2010-06-19,Miss Me,Drake Feat. Lil Wayne
2010-06-19,Dynamite,Taio Cruz
2010-06-19,Got Your Back,T.I. Feat. Keri Hilson
2010-06-19,Yeah Ya Know (Takers),T.I.
2010-06-19,Your Love,Nicki Minaj
2010-06-19,Good Vibrations,Glee Cast
2010-06-19,Deja Vu,3OH!3
2010-06-19,Another One Bites The Dust,Glee Cast
2010-06-19,Pretty Good At Drinkin' Beer,Billy Currington
2010-06-19,Tell Me Something Good,Glee Cast
2010-06-19,I'm In,Keith Urban
2010-06-19,Loser,Glee Cast
2010-06-19,Little White Church,Little Big Town
2010-06-19,"It's A Man's, Man's Man's World",Glee Cast
2010-06-19,Dirty Picture,Taio Cruz Feat. Ke$ha
2010-06-19,Shark In The Water,V V Brown
2010-06-19,Animal,Neon Trees
2010-06-26,Never Say Never,Justin Bieber Feat. Jaden Smith
2010-06-26,Faithfully,Glee Cast
2010-06-26,Waka Waka (This Time For Africa),Shakira Feat. Freshlyground
2010-06-26,Over The Rainbow,Glee Cast
2010-06-26,Any Way You Want It/Lovin' Touchin' Squeezin',Glee Cast
2010-06-26,Don't Stop Believin',Glee Cast
2010-06-26,Bionic,Christina Aguilera
2010-06-26,Beautiful Monster,Ne-Yo
2010-06-26,Hey,Lil Jon Feat. 3OH!3
2010-06-26,To Sir With Love,Glee Cast
2010-06-26,Bohemian Rhapsody,Glee Cast Feat. Jonathan Groff
2010-06-26,Half Of My Heart,John Mayer
2010-06-26,Wavin' Flag,K'Naan
2010-06-26,If It's Love,Train
2010-06-26,Secrets,OneRepublic
2010-07-03,Up All Night,Drake Feat. Nicki Minaj
2010-07-03,9 AM In Dallas,Drake
2010-07-03,Fireworks,Drake Feat. Alicia Keys
2010-07-03,Another Way To Die,Disturbed
2010-07-03,Double Vision,3OH!3
2010-07-03,Pretty Boy Swag,Soulja Boy Tell'em
2010-07-03,143,Bobby Brackins Feat. Ray J
2010-07-03,Lay Me Down,The Dirty Heads Feat. Rome
2010-07-03,Finding My Way Back,Jaheim
2010-07-03,Farmer's Daughter,Rodney Atkins
2010-07-03,This Ain't Nothin',Craig Morgan
2010-07-03,All About Tonight,Blake Shelton
2010-07-03,Fancy,Drake Feat. T.I. & Swizz Beatz
2010-07-10,Love The Way You Lie,Eminem Feat. Rihanna
2010-07-10,No Love,Eminem Feat. Lil Wayne
2010-07-10,Round & Round,Selena Gomez & The Scene
2010-07-10,Misery,Maroon 5
2010-07-10,King Of Anything,Sara Bareilles
2010-07-10,Won't Back Down,Eminem Feat. P!nk
2010-07-10,Cold Wind Blows,Eminem
2010-07-10,Stay,Miley Cyrus
2010-07-10,Talkin' 2 Myself,Eminem Feat. Kobe
2010-07-10,25 To Life,Eminem
2010-07-10,If I Had You,Adam Lambert
2010-07-17,POWER,Kanye West
2010-07-17,Jar Of Hearts,Christina Perri
2010-07-17,Club Can't Handle Me,Flo Rida Feat. David Guetta
2010-07-17,Outta Your Mind,Lil Jon Feat. LMFAO
2010-07-17,Deuces,Chris Brown Feat. Tyga & Kevin McCall
2010-07-17,We'll Be A Dream,WE the Kings Feat. Demi Lovato
2010-07-17,All Over Me,Josh Turner
2010-07-17,Cuando Me Enamoro,Enrique Iglesias Feat. Juan Luis Guerra
2010-07-17,I Can Do Anything,3OH!3
2010-07-24,If I Die Young,The Band Perry
2010-07-24,Bittersweet,Fantasia
2010-07-24,B.M.F. (Blowin' Money Fast),Rick Ross Feat. Styles P
2010-07-24,Up On The Ridge,Dierks Bentley
2010-07-31,DJ Got Us Fallin' In Love,Usher Feat. Pitbull
2010-07-31,Come Back Song,Darius Rucker
2010-07-31,Break My Bank,New Boyz Feat. Iyaz
2010-07-31,La La La,Auburn Feat. Iyaz
2010-07-31,Opposite Of Adults,Chiddy Bang
2010-07-31,Ordinary Girl,Hannah Montana
2010-07-31,Love All Over Me,Monica
2010-07-31,Roll With It,Easton Corbin
2010-07-31,Mockingbird,Rob Thomas
2010-08-07,Teenage Dream,Katy Perry
2010-08-07,Just The Way You Are,Bruno Mars
2010-08-07,Champagne Life,Ne-Yo
2010-08-07,Aston Martin Music,Rick Ross Feat. Drake & Chrisette Michele
2010-08-14,Stuck Like Glue,Sugarland
2010-08-14,G.R.I.N.D. (Get Ready It's A New Day),Asher Roth
2010-08-14,The Boys of Fall,Kenny Chesney
2010-08-14,The Crow & The Butterfly,Shinedown
2010-08-14,Rockstar 101,Rihanna Feat. Slash
2010-08-21,Mine,Taylor Swift
2010-08-21,The Catalyst,Linkin Park
2010-08-21,Letting Go (Dutty Love),Sean Kingston Feat. Nicki Minaj
2010-08-21,2012 (It Ain't The End),Jay Sean Feat. Nicki Minaj
2010-08-21,Not Like The Movies,Katy Perry
2010-08-21,September,Daughtry
2010-08-21,The Man Who Can't Be Moved,The Script
2010-08-28,Bottoms Up,Trey Songz Feat. Nicki Minaj
2010-08-28,Circle The Drain,Katy Perry
2010-08-28,As She's Walking Away,Zac Brown Band Feat. Alan Jackson
2010-08-28,Bed Intruder Song,Antoine Dodson & The Gregory Brothers Feat. Kelly Dodson
2010-08-28,Like A G6,Far*East Movement Feat. Cataracs & Dev
2010-08-28,Rhythm of Love,Plain White T's
2010-08-28,Love Like Woe,The Ready Set
2010-08-28,Little Lion Man,Mumford & Sons
2010-08-28,Hot Tottie,Usher Feat. Jay-Z
2010-09-04,Right Above It,Lil Wayne Feat. Drake
2010-09-04,Just A Dream,Nelly
2010-09-04,E.T.,Katy Perry Feat. Kanye West
2010-09-04,Why Wait,Rascal Flatts
2010-09-04,Give A Little More,Maroon 5
2010-09-04,Black Rain,Soundgarden
2010-09-11,Erase Me,Kid Cudi Feat. Kanye West
2010-09-11,My Kinda Party,Jason Aldean
2010-09-11,Last Friday Night (T.G.I.F.),Katy Perry
2010-09-11,Toot It And Boot It,YG
2010-09-11,F**k You! (Forget You),CeeLo Green
2010-09-11,Trailerhood,Toby Keith
2010-09-11,Holding You Down (Goin In Circles),Jazmine Sullivan
2010-09-11,Way Out Here,Josh Thompson
2010-09-18,The Breath You Take,George Strait
2010-09-18,Only Prettier,Miranda Lambert
2010-09-18,Anything Like Me,Brad Paisley
2010-09-25,A Year Without Rain,Selena Gomez & The Scene
2010-09-25,No Hands,Waka Flocka Flame Feat. Roscoe Dash & Wale
2010-09-25,Hollywood,Michael Buble
2010-09-25,Only Girl (In The World),Rihanna
2010-09-25,Check It Out,will.i.am & Nicki Minaj
2010-09-25,Dumb Love,Sean Kingston
2010-09-25,Introducing Me,Nick Jonas
2010-09-25,Dog Days Are Over,Florence + The Machine
2010-10-02,Radioactive,Kings Of Leon
2010-10-02,Can't Be Friends,Trey Songz
2010-10-02,Put You In A Song,Keith Urban
2010-10-02,We No Speak Americano,Yolanda Be Cool & Dcup
2010-10-02,All I Want Is You,Miguel Feat. J. Cole
2010-10-02,Turn On The Radio,Reba
2010-10-02,Waiting For The End,Linkin Park
2010-10-02,Smoke A Little Smoke,Eric Church
2010-10-02,Black And Yellow,Wiz Khalifa
2010-10-09,Empire State Of Mind,Glee Cast
2010-10-09,Telephone,Glee Cast
2010-10-09,Billionaire,Glee Cast
2010-10-09,Listen,Glee Cast
2010-10-09,What I Did For Love,Glee Cast
2010-10-09,Angel,Akon
2010-10-09,Stutter,Maroon 5
2010-10-09,Shake,Jesse McCartney
2010-10-09,Loving You No More,Diddy - Dirty Money Feat. Drake
2010-10-09,Please Don't Go,Mike Posner
2010-10-16,Toxic,Glee Cast
2010-10-16,Gonorrhea,Lil Wayne Feat. Drake
2010-10-16,The Only Exception,Glee Cast
2010-10-16,What's Wrong With Them,Lil Wayne Feat. Nicki Minaj
2010-10-16,Hey Baby (Drop It To The Floor),Pitbull Feat. T-Pain
2010-10-16,I'm A Slave 4 U,Glee Cast
2010-10-16,Stronger,Glee Cast
2010-10-16,Baby One More Time,Glee Cast
2010-10-16,Me Against The Music,Glee Cast
2010-10-16,I Am Not A Human Being,Lil Wayne
2010-10-16,Right Thru Me,Nicki Minaj
2010-10-16,Bill Gates,Lil Wayne
2010-10-16,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance
2010-10-16,Grenade,Bruno Mars
2010-10-16,Mama's Song,Carrie Underwood
2010-10-16,Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius
2010-10-23,Speak Now,Taylor Swift
2010-10-23,Runaway,Kanye West Feat. Pusha T
2010-10-23,I Want To Hold Your Hand,Glee Cast
2010-10-23,One Of Us,Glee Cast
2010-10-23,Only The Good Die Young,Glee Cast
2010-10-23,Raise Your Glass,P!nk
2010-10-23,Losing My Religion,Glee Cast
2010-10-23,Papa Can You Hear Me?,Glee Cast
2010-10-23,Bridge Over Troubled Water,Glee Cast
2010-10-23,I Look To You,Glee Cast
2010-10-23,The Lazy Song,Bruno Mars
2010-10-23,Like We Used To,A Rocket To The Moon
2010-10-23,Stereo Love,Edward Maya & Vika Jigulina
2010-10-23,Memories,David Guetta Feat. Kid Cudi
2010-10-23,Loca,Shakira Feat. El Cata or Dizzee Rascal
2010-10-30,Back To December,Taylor Swift
2010-10-30,Lucky,Glee Cast
2010-10-30,"River Deep, Mountain High",Glee Cast
2010-10-30,Happy Days Are Here Again / Get Happy,Glee Cast
2010-10-30,Don't Go Breaking My Heart,Glee Cast
2010-10-30,Move That Body,Nelly Feat. T-Pain & Akon
2010-10-30,Little Miss,Sugarland
2010-10-30,This,Darius Rucker
2010-10-30,Sing!,Glee Cast
2010-10-30,Le Jazz Hot,Glee Cast
2010-10-30,This Ain't No Love Song,Trace Adkins
2010-11-06,Mean,Taylor Swift
2010-11-06,Firework,Katy Perry
2010-11-06,Gonna Get This,Hannah Montana Feat. Iyaz
2010-11-06,Whip My Hair,WILLOW
2010-11-06,Monster,"Kanye West Feat. Jay-Z, Rick Ross, Bon Iver & Nicki Minaj"
2010-11-06,The End,Kings Of Leon
2010-11-06,What's My Name?,Rihanna Feat. Drake
2010-11-06,Rap Song,T-Pain Feat. Rick Ross
2010-11-06,Porn Star Dancing,My Darkest Days Feat. Zakk Wylde
2010-11-06,Lay It Down,Lloyd
2010-11-06,Tighten Up,The Black Keys
2010-11-06,Strip Me,Natasha Bedingfield
2010-11-13,We R Who We R,Ke$ha
2010-11-13,Sparks Fly,Taylor Swift
2010-11-13,Innocent,Taylor Swift
2010-11-13,Yeah 3X,Chris Brown
2010-11-13,The Story Of Us,Taylor Swift
2010-11-13,Dear John,Taylor Swift
2010-11-13,Better Than Revenge,Taylor Swift
2010-11-13,Haunted,Taylor Swift
2010-11-13,Last Kiss,Taylor Swift
2010-11-13,I Won't Let Go,Rascal Flatts
2010-11-13,Enchanted,Taylor Swift
2010-11-13,Mr. Rager,Kid Cudi
2010-11-13,Never Grow Up,Taylor Swift
2010-11-13,Long Live,Taylor Swift
2010-11-13,Time Warp,Glee Cast
2010-11-13,One In A Million,Ne-Yo
2010-11-13,Someone Else Calling You Baby,Luke Bryan
2010-11-20,Felt Good On My Lips,Tim McGraw
2010-11-20,Sleazy Remix 2.0 Get Sleazier,"Ke$ha Feat. Lil Wayne, Wiz Khalifa, T.I. & Andre 3000"
2010-11-20,Roman's Revenge,Nicki Minaj Feat. Eminem
2010-11-20,"Bon, Bon",Pitbull
2010-11-20,Somewhere With You,Kenny Chesney
2010-11-20,Get Back Up,T.I. Feat. Chris Brown
2010-11-20,Lo Mejor De Mi Vida Eres Tu,Ricky Martin Feat. Natalia Jimenez
2010-11-20,Sick,New Hollow
2010-11-20,Voices,Chris Young
2010-11-20,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
2010-11-20,Bullets In The Gun,Toby Keith
2010-11-20,The Big Bang,ROCKMAFIA
2010-11-20,Who Are You When I'm Not Looking,Blake Shelton
2010-11-27,Teenage Dream,Glee Cast
2010-11-27,The Time (Dirty Bit),The Black Eyed Peas
2010-11-27,Start Me Up / Livin' On A Prayer,Glee Cast
2010-11-27,Stop! In The Name Of Love / Free Your Mind,Glee Cast
2010-11-27,One Love (People Get Ready),Glee Cast
2010-11-27,Marijuana,Kid Cudi
2010-11-27,The Show Goes On,Lupe Fiasco
